District,Street,Community,AvgPrice,2019/3/1,2019/4/1,2019/5/1,2019/6/1,2019/7/1,2019/8/1,2019/9/1,2019/10/1,2019/11/1,2019/12/1,2020/1/1,2020/2/1,2020/3/1,2020/4/1,2020/5/1,2020/6/1,2020/7/1,2020/8/1,2020/9/1,2020/10/1,2020/11/1,2020/12/1,2021/1/1,2021/2/1,2021/3/1,2021/4/1,2021/5/1,2021/6/1,2021/7/1,2021/8/1,2021/9/1,2021/10/1,2021/11/1,2021/12/1,2022/1/1,2022/2/1,2022/3/1,2022/4/1,2022/5/1,2022/6/1,2022/7/1,2022/8/1,2022/9/1,Market1Distance,Market2Distance,Market3Distance,Market4Distance,Market5Distance,Market6Distance,Market7Distance,Market8Distance,MinDistance,Longitude,Latitude
上城,南星,钱江御府,68736.16,54233.697722353165,57432.18673652903,65403.5,52941.0,64142.7705106857,67042.66667,66704.92714852092,73034.0,71082.0,65405.0,69014.4949596888,69292.77532273268,65596.33333,69835.15459955063,70197.7542157327,66004.0,77991.33333,63194.0,96002.0,58108.0,79545.0,79038.9705598102,81793.4369706696,85068.51331128158,88913.4499328502,93377.49718657939,98509.90542367316,104359.92499533552,110976.80625277042,118409.79954718187,126708.15522977387,135921.12365175036,146097.9551643154,157287.90011867293,169540.20886602698,182904.1317575815,197428.9191445404,213163.82137810788,230158.08880948776,248460.97178988406,268121.72067050077,289189.585802542,311713.8175372115,49.73156829,42.0015536,31.65514723,104.825141,24.34962755,38.7409826,53.94066638,36.66506197,0.024349628,120.182326,30.226009
上城,南星,木材新村,50939.56667,54232.6785451639,53253.100414003995,52416.54214764135,50814.0,51142.50704274188,52357.0,50350.616897333595,50116.73983033492,49980.91537828457,47637.0,50629.0,50086.812295408556,50360.0,52051.0,50805.37924797384,52572.0,52476.33333,51934.26361166019,48837.8,52814.88008285405,50000.0,54638.0,54348.0,54613.574075115226,58929.0,55411.73892991871,55759.29492624346,56062.507246328234,55000.0,56505.92269121189,56631.13673272779,56682.028931437744,56651.10474570028,56530.869633873896,56313.8290543171,55992.48846538841,55559.35332544633,55006.92909284939,54327.72122595606,53514.23518312489,52558.976422714375,51454.45040308302,50193.162582589335,52.71440415,46.96173026,33.75727919,105.7326213,25.8376038,43.88905719,56.9872706,41.41468905,0.025837604,120.179318,30.221831
上城,南星,赞成林风沁林苑,56532.90909,16373.219920293855,28195.583967472998,37807.345263925265,45480.0,51256.63047799914,55522.93983229574,58436.217309215455,60210.85562709577,61061.24750427417,61201.785659088164,59335.0,60210.871674972914,63000.0,58953.255421449976,55972.0,59144.07864521931,61008.5,62560.0,65898.0100717025,70731.6105114347,77213.67713051484,85558.60264728063,95980.77978006941,108694.60124721871,123914.45976706607,141854.74805794892,162729.85883820476,186754.18482617117,214142.1187401856,245108.05329858552,279866.38121970824,318631.4952218916,361617.78802347305,409039.65234279,461111.4808981798,518047.6664079799,580062.6015905283,647370.6791641621,720186.291847219,798723.8323580361,883197.693414951,973822.2677363015,1070811.948040425,53.16774948,35.03728518,37.05499224,111.0142613,30.83775248,33.91209508,57.17558775,28.99870937,0.028998709,120.19122,30.226505
上城,南星,春江花月,49762.37255,46953.5,54859.5,48007.0,57040.0,52307.0,50012.766957495944,49833.83741990708,51337.0,49831.135960432875,54240.66667,47811.0,50613.85460281056,51412.0,48887.5,49600.6,49990.75,52777.9,52471.5,57022.25,52507.5,60616.33333,63724.5,56192.5,58447.75,63833.75,61669.09273864364,62621.930323114204,63560.5700183189,61350.0,65368.28955221871,66223.88629655786,67038.31896291919,67804.84600412473,68516.72587299647,69167.21702235643,69749.57790502664,70257.0669738291,70682.94268158583,71020.46348111884,77722.0,71403.47416680178,66332.0,71352.16665345401,58.63621304,48.8257606,39.73443651,111.4375759,31.77926388,47.1417558,62.89901542,42.671954,0.031779264,120.18183,30.216406
上城,南星,秋涛南苑,49886.16393,62089.39736776553,60566.0,58906.596837409284,57596.97733785147,59390.0,54604.0,53784.0,54017.64076894184,51370.33333,50015.2,56933.0,52641.59949875834,60119.0,50733.0,44286.0,52867.07887638302,47822.0,52696.0,55076.5,54092.30425089798,51699.5,59589.5,66667.0,52174.0,57317.5,56488.28400795671,56832.062144102296,57134.89438692701,57387.37800751025,57580.110276931424,57703.68846626994,57748.70984660521,57705.771689016656,57565.47126458366,53125.0,56250.0,56466.369101012155,55842.5923199955,55074.43962753146,50444.0,53067.39559257881,56596.0,50370.01516478947,53.40568945,48.2517225,34.26403218,105.8595198,26.2281587,45.18408935,57.69062854,42.67521482,0.026228159,120.178445,30.220863
上城,闸弄口 ,万家花园万和苑,33966.875,31332.355499230387,35006.04746677738,37709.825010067616,39565.36611370372,41322.0,39766.0,41259.35063271348,42326.0,40378.254498164155,39699.61464053062,38269.0,38474.541267558954,38171.46372142607,38236.92958166533,38792.616832879365,40303.0,41861.36744664222,44468.0,48351.13943953569,53183.10341466297,59235.35668838078,66629.57724529174,75487.44306999851,85930.63214710368,98080.82246120987,112059.69199691976,127988.91873883593,145990.18067156104,166185.1557796977,188695.52204784853,213642.95746061616,241149.14000260326,271335.7476584124,304324.4584126462,340236.9502499074,379194.90115479846,421319.9891119221,466733.8921058809,515558.28812127764,567914.8551427148,623925.271154795,683711.214142121,747394.3620892953,43.31814437,35.76469446,53.17062777,98.75096589,58.04526359,28.469932,42.71484483,42.58138647,0.028469932,120.20542,30.286064
上城,闸弄口 ,闸弄口铁路宿舍,34502.36667,33506.0,32700.0,30000.0,33805.54267086924,34365.12465787956,34839.20464728255,35357.0,38847.0,35795.96120556149,35025.0,33493.0,36154.30265794459,36162.948676095264,36124.11555720974,36042.556158859414,35963.0,35400.0,33987.66667,36138.0,35214.0,36735.0,34706.0,34422.27781989084,34170.06049706989,33922.64547049805,36300.0,33277.33333,33256.74274399111,33076.06547812962,32923.9547963742,32805.16355629624,32724.444615467128,32686.550831458255,32696.235061841013,32758.250164186797,27447.0,34694.0,33305.80927871619,33624.676444627985,34019.63877035975,35792.0,35459.5,35708.625282188834,30.43782413,33.71701155,39.38395522,89.31110527,44.53619275,22.87025951,30.5223914,38.96475392,0.02287026,120.194251,30.277921
上城,闸弄口 ,万家花园欣和苑,41787.4,36524.0,38404.976888085905,39980.019013699806,41178.6962913812,42044.96084165422,42622.76478504295,42425.0,43088.79933326405,43064.93417914465,42928.41690023744,42723.19961706653,42493.23445015604,42282.47352003007,44782.0,42094.3728522282,39231.0,42510.51457785384,43055.056639512266,44626.0,45036.8437631409,46561.99306615933,48501.91569067934,50900.56375722503,53801.889386320516,57249.84469848993,61288.381814257344,65961.45285414692,71313.00993868275,77387.00518838897,84227.39072378965,91878.11866540895,100383.14113377097,109786.41024939984,120131.87813281965,131463.49690455451,143825.21868512855,157260.9955950659,171814.77975489068,187530.52328512698,204452.17830629883,222623.69693893055,242089.03130354613,262892.13352066965,40.7943306,35.76914096,50.82781658,96.49168517,55.83945252,27.72265747,40.2037501,42.3654709,0.027722657,120.203024,30.285271
上城,闸弄口 ,闸弄口新苑,32992.28571,35185.74117114106,35342.934411333896,36744.0,33030.0,37105.0,35677.56280568948,36047.0,35688.744479186396,35660.39073905678,35611.345777786395,35543.063467958724,35456.997682157235,35354.60229296539,33563.0,35106.638194744526,34963.97723088245,34810.80215396389,34648.566836572325,34478.725151291226,34302.730970704055,34122.03816739429,33938.10061394539,33752.37218294084,33566.306746964096,35073.5,33198.980350427904,33020.62713503541,34096.0,32681.81003291893,32524.253891361892,32376.53785291695,32240.11579016757,32116.441575697223,32192.0,28767.0,31836.444747795067,31778.300652275546,31740.173767952394,31723.517967409098,31729.787123229115,32895.0,31816.915794292974,31900.683054703753,33.50354317,32.94910483,42.35791954,91.84946245,47.32349121,22.80916572,33.47806237,38.63865382,0.022809166,120.197143,30.279106
上城,闸弄口 ,红树林花园,33103.05263,37239.975205636045,36773.48624058734,36349.276500262655,35966.526092916334,35624.41512680274,35596.0,35058.83195129112,34833.71995840181,33182.0,34494.755703627925,34379.26365825207,34298.671811889406,34252.16027279429,36255.0,35534.0,34308.90858165773,34390.519354176315,33864.0,34642.86355308578,34811.957195985364,35008.57201218731,31818.0,35097.5,35755.344583150894,36053.845175105846,36970.0,38743.0,37086.597671432915,37473.86577121052,37881.276018579665,38308.00852179471,38753.243389110015,39216.16072877992,39695.94064905878,40191.76325820095,40702.80866446078,40945.0,41767.288301350854,42319.08274848979,42882.820425763806,43457.68144142725,44042.84590373448,44637.493920939836,27.07933768,40.95262293,39.61694446,83.22113263,45.837531,29.88909428,26.23286244,46.04935901,0.026232862,120.189179,30.283116
