Market,Longitude,Latitude
3.0,120.158394,30.302936
3.0,120.159319,30.30449
3.0,120.147071,30.304434
3.0,120.148648,30.303869
5.0,120.154401,30.309505
3.0,120.150575,30.311647
3.0,120.148089,30.296798
3.0,120.147786,30.296822
3.0,120.147757,30.297324
5.0,120.152114,30.29786
3.0,120.157959,30.2961
3.0,120.15862,30.296849
3.0,120.158864,30.295404
3.0,120.152484,30.292447
3.0,120.154863,30.29629
5.0,120.15298,30.296129
3.0,120.152457,30.293903
3.0,120.156396,30.295548
3.0,120.153746,30.295354
3.0,120.150759,30.295582
3.0,120.173028,30.297401
3.0,120.174914,30.298511
3.0,120.177998,30.299259
3.0,120.177926,30.298187
3.0,120.180645,30.300995
5.0,120.183598,30.301662
3.0,120.238541,30.36387
3.0,120.23261,30.368956
3.0,120.242594,30.354016
3.0,120.241925,30.360716
3.0,120.235384,30.347196
3.0,120.233774,30.349645
3.0,120.2452,30.362808
3.0,120.238821,30.353522
6.0,120.232014,30.358384
3.0,120.234593,30.356081
3.0,120.233612,30.354283
3.0,120.24111,30.350482
3.0,120.235204,30.363626
3.0,120.238499,30.348799
3.0,120.234655,30.358621
3.0,120.231031,30.348938
5.0,120.235987,30.354856
3.0,120.238204,30.356158
3.0,120.226528,30.355183
3.0,120.209645,30.346962
3.0,120.231268,30.372113
3.0,120.221388,30.356355
3.0,120.23195,30.345697
3.0,120.214155,30.341585
3.0,120.226115,30.367544
3.0,120.227885,30.37081
2.0,120.215712,30.340078
3.0,120.228505,30.345335
3.0,120.228842,30.352509
3.0,120.218099,30.341709
3.0,120.23605,30.35748
3.0,120.236481,30.358945
3.0,120.23941,30.367291
3.0,120.233046,30.351371
3.0,120.236752,30.350825
3.0,120.224958,30.360404
3.0,120.236241,30.352985
3.0,120.229661,30.357465
5.0,120.22934,30.359955
5.0,120.163926,30.249892
3.0,120.219801,30.343555
3.0,120.226036,30.358704
3.0,120.216488,30.34655
3.0,120.212911,30.344371
3.0,120.222237,30.354718
5.0,120.14133,30.317404
3.0,120.146489,30.331565
3.0,120.146247,30.328876
3.0,120.147664,30.329539
3.0,120.147866,30.32631
3.0,120.144023,30.317814
3.0,120.144899,30.321655
3.0,120.145137,30.323646
3.0,120.14286,30.323284
3.0,120.145372,30.317816
3.0,120.145604,30.313986
3.0,120.155946,30.314692
3.0,120.145033,30.320632
3.0,120.141078,30.329258
5.0,120.140928,30.326319
3.0,120.143054,30.313995
3.0,120.149055,30.313805
3.0,120.141108,30.314424
5.0,120.142463,30.326828
3.0,120.142531,30.320551
3.0,120.143998,30.323697
3.0,120.147177,30.319429
4.0,120.15094,30.32636
3.0,120.146548,30.311366
3.0,120.141211,30.316063
3.0,120.143282,30.316259
3.0,120.162816,30.329288
3.0,120.143671,30.312025
3.0,120.141117,30.310472
3.0,120.16129,30.324958
3.0,120.141739,30.308159
3.0,120.148234,30.323082
3.0,120.122247,30.375229
3.0,120.116199,30.38092
3.0,120.11546,30.376878
3.0,120.103111,30.375959
3.0,120.103981,30.377872
3.0,120.119596,30.365509
3.0,120.129378,30.350543
3.0,120.120905,30.356657
3.0,120.118209,30.356742
3.0,120.140522,30.298779
4.0,120.126993,30.30789
3.0,120.127554,30.308421
3.0,120.124514,30.307406
3.0,120.139745,30.302431
3.0,120.129499,30.309609
5.0,120.119022,30.297735
3.0,120.139832,30.300305
3.0,120.12671,30.3065
3.0,120.134144,30.305204
3.0,120.256589,30.360478
3.0,120.134112,30.305182
3.0,120.135823,30.30084
3.0,120.138369,30.30269
3.0,120.132981,30.303282
3.0,120.127941,30.303172
3.0,120.175097,30.289229
3.0,120.173486,30.291536
3.0,120.17749,30.284085
2.0,120.179726,30.284135
3.0,120.17185,30.292849
