Market,Longitude,Latitude
8.0,120.163964,30.296009
8.0,120.156359,30.28916
8.0,120.159861,30.291025
8.0,120.170943,30.283304
8.0,120.230573,30.367344
2.0,120.16072,30.292771
1.0,120.166994,30.275952
8.0,120.160703,30.286654
8.0,120.170151,30.286546
4.0,120.156767,30.286725
8.0,120.166255,30.287259
8.0,120.158682,30.287338
4.0,120.166542,30.295206
8.0,120.16847,30.277132
4.0,120.164262,30.281322
4.0,120.163508,30.285057
8.0,120.164701,30.282092
1.0,120.168003,30.288908
8.0,120.163214,30.282682
1.0,120.170465,30.291107
1.0,120.160426,30.289813
8.0,120.154416,30.291095
1.0,120.156362,30.290076
4.0,120.167978,30.266113
4.0,120.167186,30.278024
4.0,120.166278,30.278124
2.0,120.162121,30.29
2.0,120.16748,30.280324
8.0,120.169077,30.276375
2.0,120.168383,30.279081
1.0,120.165898,30.284672
4.0,120.161718,30.282104
4.0,120.173111,30.264554
8.0,120.180144,30.263994
8.0,120.186494,30.25746
8.0,120.183723,30.248627
4.0,120.184346,30.249493
2.0,120.18602,30.251027
2.0,120.181691,30.247571
8.0,120.181868,30.248327
2.0,120.18451,30.258921
5.0,120.180511,30.248761
8.0,120.181983,30.257571
2.0,120.183799,30.259871
8.0,120.184255,30.263648
4.0,120.184048,30.25225
2.0,120.182496,30.262778
8.0,120.1864,30.261077
1.0,120.181361,30.253676
2.0,120.180715,30.251524
2.0,120.185157,30.254614
8.0,120.181707,30.256359
2.0,120.185339,30.25078
8.0,120.1815,30.263347
8.0,120.184887,30.259758
8.0,120.183625,30.259487
4.0,120.186529,30.253779
8.0,120.184494,30.260881
8.0,120.18123,30.260282
8.0,120.180663,30.25407
8.0,120.182077,30.256975
2.0,120.183583,30.255063
8.0,120.182052,30.260683
8.0,120.185459,30.261047
8.0,120.142379,30.299125
8.0,120.182439,30.263783
1.0,120.159415,30.307207
8.0,120.185056,30.256504
8.0,120.18509,30.263167
4.0,120.179755,30.251686
8.0,120.180109,30.255959
2.0,120.186338,30.254771
2.0,120.183248,30.250671
8.0,120.140548,30.398737
8.0,120.138683,30.400939
1.0,120.204199,30.404567
8.0,120.175208,30.382294
4.0,120.145604,30.280645
2.0,120.173348,30.386493
2.0,120.165443,30.376579
2.0,120.167938,30.38104
4.0,120.165251,30.383144
1.0,120.136025,30.383332
4.0,120.173806,30.380258
4.0,120.169484,30.38194
2.0,120.172549,30.378764
8.0,120.162651,30.381424
2.0,120.162837,30.384121
2.0,120.176113,30.384282
8.0,120.160056,30.302006
8.0,120.157291,30.304124
8.0,120.154616,30.308532
8.0,120.155781,30.309719
8.0,120.156983,30.301824
8.0,120.155144,30.304195
8.0,120.154851,30.305651
8.0,120.156426,30.304471
8.0,120.159701,30.303677
8.0,120.153516,30.306473
8.0,120.159508,30.300343
4.0,120.157314,30.306103
8.0,120.15587,30.309021
8.0,120.152179,30.308117
8.0,120.153336,30.304671
8.0,120.153296,30.308844
8.0,120.1513,30.305853
8.0,120.1583,30.29912
8.0,120.154578,30.308145
8.0,120.160579,30.299835
8.0,120.158532,30.307705
8.0,120.151874,30.308701
8.0,120.151508,30.307382
8.0,120.158394,30.302936
8.0,120.159319,30.30449
2.0,120.147071,30.304434
4.0,120.148648,30.303869
8.0,120.154401,30.309505
8.0,120.150575,30.311647
2.0,120.148089,30.296798
4.0,120.147786,30.296822
8.0,120.147757,30.297324
8.0,120.152114,30.29786
8.0,120.157959,30.2961
8.0,120.15862,30.296849
4.0,120.158864,30.295404
2.0,120.152484,30.292447
4.0,120.154863,30.29629
8.0,120.15298,30.296129
4.0,120.152457,30.293903
4.0,120.156396,30.295548
4.0,120.153746,30.295354
4.0,120.150759,30.295582
8.0,120.173028,30.297401
2.0,120.174914,30.298511
4.0,120.177998,30.299259
1.0,120.177926,30.298187
4.0,120.180645,30.300995
8.0,120.183598,30.301662
8.0,120.238541,30.36387
8.0,120.23261,30.368956
4.0,120.242594,30.354016
4.0,120.241925,30.360716
8.0,120.235384,30.347196
8.0,120.233774,30.349645
4.0,120.2452,30.362808
8.0,120.238821,30.353522
1.0,120.232014,30.358384
8.0,120.234593,30.356081
1.0,120.233612,30.354283
8.0,120.24111,30.350482
8.0,120.235204,30.363626
8.0,120.238499,30.348799
2.0,120.234655,30.358621
8.0,120.231031,30.348938
8.0,120.235987,30.354856
8.0,120.238204,30.356158
2.0,120.226528,30.355183
4.0,120.209645,30.346962
2.0,120.231268,30.372113
8.0,120.221388,30.356355
